"Simone: Technology is now available that, through precise alteration of human genetic material, can prevent some of the more severe complications caused by genetic diseases. Thus, a role for medical science is to use this technology to stop these diseases before they lead to serious problems. We should not hinder medical progress out of fear of possible abuses of it.
Juana: You are trading one set of problems for a considerably more dangerous set. If you allow the use of technology to tamper with human genetic material, only imagination sets limits to the tragedies that could ensue.
Simone's and Juana's statements most strongly indicate that they disagree over whether
A) medical science should be involved in any genetic research on human beings
B) genetic diseases represent a serious health problem for human beings
C) altering human genes to prevent one set of genetic diseases will only lead to the creation of a new set of genetic diseases
D) altering human genetic material to stop disease will have ill effects
E) the risks involved in stopping disease by altering human genetic material are worth taking",E
"Book reviewer: The author's aim is to show that Milio Vitolais one of the most underrated artists of the last century. But whereas he cites a wealth of negative assessments by other art historians, he does little to show that these assessments are wrong. And it must be confessed that the book's reproductions of Vitola's works reveal no artistic skill whatsoever. Thus, the author is...
Which one of the following most logically completes the book reviewer's final sentence?
A) not successful in fulfilling his intentions
B) insufficiently aware of the works of his predecessors
C) unduly motivated by the desire to create controversy
D) likely to change readers' minds about the works of Vitola
E) unfair in his reporting of the views of others",A
"Hasina: Our province has enacted new workplace standards to protect employees from repetitive stress injuries. The new law requires businesses employing at least nine workers to create safer working conditions on the job and permits the workers to demand specific solutions for their problems. This law should be widely enforced. If it is, it will dramatically reduce the number of repetitive stress injuries in our province.
Which one of the following, if true, most supports the claim made in the last sentence of Hasina's argument?
A) Most people in the province who experience repetitive stress injuries work for businesses that have at least nine employees.
B) Recently, public awareness of repetitive stress injuries has greatly increased, and consequently the incidence of repetitive stress injury is already going down.
C) Measures are now being taken that will guarantee the wide dissemination of information about this law, as well as its consistent enforcement.
D) Some of the largest businesses in the province have already voluntarily instituted standards similar to those of the new law.
E) The new law also contains measures that will increase the likelihood that people suffering from repetitive stress injuries will report those injuries to their employers and public health officials.",A
"Patents are issued only for inventions that are both novel and useful. Because of rapid advances in the field of computer science, an extremely high number of patents issued last year were issued for computer algorithms. However, a new law prohibits the issue of patents for computer algorithms, and thus the number of patents issued this year will be significantly less than it would have been otherwise.

Which one of the following is an assumption on which the argument depends?
A) Were it not for the new law, some computer algorithms would receive patents this year.
B) Last year, more than half of the patents issued were for computer algorithms.
C) The field of computer science is responsible for the majority of recent inventions.
D) Of the computer algorithms that were submitted for patents in the past several years, most were eventually issued patents.
E) More patents for novel and useful inventions were issued last year than will be issued this year.",A
"All load-bearing supports are essential structural elements. Some walls are not essential structural elements. Thus, some walls are not load-bearing supports.

Which one of the following is most similar in its reasoning to the argument above?
A) All items purchased at this store are returnable. Some of Pat's items are not returnable. Hence some of Pat's items were not purchased at this store.
B) All sandstone rocks are sedimentary rocks. All sedimentary rocks are formed by deposition of particles. So all sandstone rocks are formed by deposition of particles.
C) All officers of this group are licensed and bonded. Some people who are licensed and bonded are not trustworthy. Therefore, some officers of this group are not trustworthy.
D) All slipcovers are protective. Some ornamental lace items laid on furniture are not slipcovers. Thus, some ornamental lace items laid on furniture are not protective.
E) All plays are entertainment. Some entertainment is not worthy of serious attention. It follows that some plays are not worthy of serious attention.",A
"Museum director: Our city's economy is heavily dependent on tourism. Most of the tourists visiting our city go to the city art museum at some time during their stay. Therefore, to protect the city's economy, the art museum must be maintained as an appealing tourist attraction.

The museum director's argument is most vulnerable to criticism on which one of the following grounds?
A) It overlooks the possibility that tourists who visit the art museum also contribute to the city's economy in other ways.
B) It fails to adequately address the possibility that almost all the tourists who go to the art museum would visit the city even if the art museum were not an appealing tourist attraction.
C) It fails to adequately address the possibility that the city's economy may not be protected even if the art museum is maintained as an appealing tourist attraction.
D) It takes for granted that, apart from the art museum, there is no other tourist attraction in the city to which most tourists go.
E) It overlooks the possibility that a tourist visiting the city who does not go to the art museum contributes just as much to the city's economy, on average, as one who does go to the art museum.",B
"In a study of several hundred scientists, researchers found that, on average, the more pieces of mediocre and flawed work a scientist in the study had produced, the more prominent and successful that scientist was.
Which one of the following, if true, most helps to resolve the apparent discrepancy described above?
A) Most scientists produce a great deal of mediocre and flawed work in addition to any work they produce that contributes to their prominence and success.
B) The several hundred scientists in the study were not fully representative of scientists in general with respect to either the quality of their work or their prominence and success.
C) On average, the more pieces of important, high-quality work a scientist has produced, the more prominent and successful that scientist is.
D) The amount of mediocre and flawed work a scientist produces and the amount of work contributing to his or her prominence and success both tend to increase with the total amount of work he or she produces.
E) For a scientist to be prominent and successful, an unusually large proportion of that scientist's work must be superior to the quality of most scientists’ work.",D
"Carbon dioxide and water vapor in Earth's atmosphere warm Earth's surface by reducing the amount of heat that radiates back into outer space after reaching Earth's surface from the sun. Substantially higher concentrations of carbon dioxide and water vapor in the atmosphere would enhance this effect at least slightly. Such concentrations would also make the sky cloudier, which would significantly reduce the overall amount of heat reaching Earth's surface from the sun.
Which one of the following is most strongly supported by the information above?
A) Substantially higher concentrations of carbon dioxide and water vapor in Earth's atmosphere would reduce the overall amount of heat that radiates back into outer space after reaching Earth's surface from the sun.
B) Any reduction in the amount of heat that radiates back into outer space after reaching Earth's surface from the sun would be accompanied by a reduction in the overall amount of heat reaching Earth's surface from the sun.
C) Substantially higher concentrations of carbon dioxide and water vapor in Earth's atmosphere would cool Earth's surface at least slightly.
D) A higher concentration of carbon dioxide in Earth's atmosphere would reduce the overall amount of heat reaching Earth's surface from the sun only if accompanied by an increase in the concentration of water vapor in Earth's atmosphere.
E) Slightly higher concentrations of carbon dioxide and water vapor in Earth's atmosphere would have no significant overall effect on the average temperature of Earth's surface. ",A
"Commuter: To induce commuters to take public buses and thereby relieve traffic congestion, Munville is considering raising the fees for downtown parking garages. Although raising parking fees would relieve traffic congestion, the city should not raise these fees. After all, commuting on the buses would be a major inconvenience for most commuters, since it is much slower and less reliable than driving.

Which one of the following principles, if valid, most helps to justify the reasoning in the commuter's argument?
A) A city should not implement any policy without considering all probable consequences of the policy.
B) Given a choice between two measures that each achieve a desired goal, a city should implement the policy that inconveniences commuters less.
C) Commuters should be allowed to use the method of commuting that is fastest and most reliable for them.
D) A measure designed to relieve traffic congestion should be implemented only if doing so would not create inconvenience for commuters.
E) A city should not charge excessive fees for use of publicly owned facilities, even if doing so has socially desirable effects.",D
"Novelist: Rather than have characters trade unusually well-crafted lines or spout improbably polished speeches, my novels realistically portray human dialogue. Some literary critics dismiss the artistic achievement of these novels, but they are mistaken in doing so. Their basis for this view is their belief that it is easy to write natural-sounding dialogue. It is not. However, even if it were, that would not count in the least against the novels' artistic merit.

The claim that it is mistaken for literary critics to dismiss the artistic achievement of the novels plays which one of the following roles in the novelist's argument?
A) It is a tangential comment that is not offered as part of the logical development of the argument.
B) It is one of two premises each of which purports to independently support the argument's conclusion.
C) It is the conclusion that the argument attempts to establish.
D) It is a premise that purports to be sufficient, in conjunction with another of the argument's premises, to establish the conclusion.
E) It is an intermediary conclusion, for which a premise is offered in support and that, in turn, purports to establish the overall conclusion.",C
"Many people have a negative reaction to modern art. Some critics have hypothesized that these people simply have an unalterable, innate dislike for the abstraction typical of modern art. But consider this analogy: Many people who have had only superficial contact with a sport such as baseball find it silly or boring. Yet when these same people come to understand baseball's subtleties, they overcome their dislike and even become baseball enthusiasts. Thus, the critics' hypothesis about modern art may be wrong, for it may be that ...

A) for many people the abstraction typical of modern art does not provide a sufficient degree of subtlety to engage their interest.
B) people who have a negative reaction to modern art have not yet become sufficiently familiar with its subtleties.
C) the dislike many people have for modern art is not innate but is instead a result of their not wanting to be distracted from their current enthusiasms.
D) the critics place excessive value on the abstraction found in typical examples of modern art.
E) people who dislike modern art do not know anyone who is sufficiently enthusiastic about modern art to cause them to reconsider their aversion.",B
"Felicia: One of the most reliable cars ever made is the Iver X500. Mine is ten years old and has never needed repair.
Matt: I really don't see how you can say that. The X500 is completely unreliable. My aunt owns an X500, and that thing's in the shop every other week.

Which one of the following most accurately describes a reasoning flaw committed by both Felicia and Matt?
A) drawing a general conclusion on the basis of a very limited number of particular instances
B) distorting the argument of one's opponent and then attacking this distorted argument
C) attempting to establish a particular conclusion because doing so is in the reasoner's self-interest
D) attacking the character of one's opponent rather than addressing his or her argument
E) mistaking a factor that causally contributes to reliability for something that is an effect of reliability",A
"Chiropractors may not be fixing partial dislocations as they claim, but nevertheless may have found beneficial ways to manipulate the spine. Homeopathic remedies may prove to be placebos, yet homeopathy would still provide an opportunity to explore the nature of the placebo effect. And acupuncture may provide insight into the chemistry of the nervous system, rather than into the body's energy flow. 
Which one of the following inferences is most strongly supported by the information above? 
A) Chiropractic, homeopathy, and acupuncture provide equally valuable alternative medical treatments. 
B) One can learn something from alternative medical treatments without understanding anything about how the treatments are applied in practice. 
C) Alternative medical treatments are sometimes as effective as mainstream medical treatments. 
D) Traditional acupuncture theory may not be as incompatible with Western medicine as was once thought. 
E) Alternative medical treatments could be valuable even if the practitioner's account of what is happening is not true.",E
"Roberta: The recent increase in independently produced films indicates that filmmakers are as tired of the junk turned out by the big studios as audiences are. Clearly, these new films result from a yearning for inventive filmmaking. Vernon: If you had seen any of these independent films, you would know that they are just as poor as studio productions. The trend is merely a search for inexpensive labor. Now that well-trained, experienced, unionized film crews are getting paid what they deserve, more filmmakers are using nonunionized crews. Far from being better than studio films, independent films add an incompetent crew to the usual list of incompetencies. 
Roberta's and Vernon's comments indicate that they disagree about 
A) the quality of studio filmmaking 
B) the competence of film crews working on independent films 
C) whether unionized film crews deserve the pay they receive 
D) whether audiences prefer independent films to studio films 
E) the reason that independent film production is on the rise",E
"Dairy farmers should always try to maximize feed intake in their most productive cows. As a cow's feed intake increases, the percentage of total energy intake required for bodily maintenance decreases, and the amount of energy available for milk production increases. So, as feed intake increases, milk production improves. 
Which one of the following is an assumption that the argument requires? 
A) Dairy farmers should try to maximize the percentage of total energy intake required by their cows for bodily maintenance. 
B) In the most productive cows, the amount of energy used for milk production is a fixed percentage of the amount of energy available for milk production. 
C) Dairy farmers should try to maximize the amount of energy used for bodily maintenance in their most productive cows. 
D) The percentage of total energy intake typically required for bodily maintenance is generally lower in the most productive cows than in other dairy cows. 
E) Dairy farmers should attempt to increase milk production in their most productive cows.",E
"Economist: Raising the minimum wage would force industries to use more-advanced technology to counter the greater labor costs. The resulting technological breakthroughs would benefit society enormously. Therefore, we should raise the minimum wage. 
The economist's argument is most vulnerable to criticism on the grounds that it fails to consider the possibility that 
A) most industries will not use more-advanced technology without being forced to do so 
B) a minimum-wage increase less effectively produces competition when the wage is raised quickly than when it is raised gradually 
C) workers trained to use sophisticated equipment are already able to demand and receive wages higher than the minimum 
D) a low unemployment rate is compatible with increased technological efficiency 
E) there are ways more effective than raising the minimum wage to induce companies to use more-advanced technology",E
"Over centuries, astronomers have reported seeing bright flashes of colored light emanating from various moon sites. Some astronomers suggest that large lunar craters have suffered landslides, in which material slumped into the cavities from the crater walls or from the high mountains adjacent to some craters. They hypothesize that dust or volatile gases rising after such landslides account for many of the sightings. 
Each of the following, if true, provides additional evidence in favor of the astronomers' hypothesis except: 
A) The largest lunar landslides probably took place prior to the development of telescopes. 
B) The low gravity of the moon would allow dust and gas to rise to significant heights above the moon's surface. 
C) Volatile gases are known to exist close to the moon's surface. 
D) Dust in the atmosphere of a planetary body is known to reflect sunlight. 
E) The contours of certain of the moon's craters show signs of having sustained landslides.",A
